cnpjPartido;recibo;cnpjDoador;data;valor;id;sigla
04514550000180;3404981;02545212000180;25-AUG-14;396;1808;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;1680;1809;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1810;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1811;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1812;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;252;1813;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;260;1814;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1815;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;504;1816;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1817;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1818;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1819;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1820;PMDB
04514550000180;3404981;02545212000180;25-AUG-14;396;1821;PMDB
